"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:281278","urn:lsid:marinespecies.org:taxname:281278","Latridopsis forsteri","Latridopsis forsteri","Actinopteri","Centrarchiformes","Latridae","Latridopsis","accepted",281278
"urn:lsid:marinespecies.org:taxname:281280","urn:lsid:marinespecies.org:taxname:281280","Latris lineata","Latris lineata","Actinopteri","Centrarchiformes","Latridae","Latris","accepted",281280
"urn:lsid:marinespecies.org:taxname:281281","urn:lsid:marinespecies.org:taxname:281281","Lecanogaster chrysea","Lecanogaster chrysea","Actinopteri","Gobiesociformes","Gobiesocidae","Lecanogaster","accepted",281281
"urn:lsid:marinespecies.org:taxname:281282","urn:lsid:marinespecies.org:taxname:281282","Leiocottus hirundo","Leiocottus hirundo","Actinopteri","Perciformes","Cottidae","Leiocottus","accepted",281282
"urn:lsid:marinespecies.org:taxname:281287","urn:lsid:marinespecies.org:taxname:281287","Lepidammodytes macrophthalmus","Lepidammodytes macrophthalmus","Actinopteri","Perciformes","Ammodytidae","Lepidammodytes","accepted",281287
"urn:lsid:marinespecies.org:taxname:281288","urn:lsid:marinespecies.org:taxname:281288","Lepidoblennius haplodactylus","Lepidoblennius haplodactylus","Actinopteri","Blenniiformes","Tripterygiidae","Lepidoblennius","accepted",281288
"urn:lsid:marinespecies.org:taxname:281289","urn:lsid:marinespecies.org:taxname:281289","Lepidoblennius marmoratus","Lepidoblennius marmoratus","Actinopteri","Blenniiformes","Tripterygiidae","Lepidoblennius","accepted",281289
"urn:lsid:marinespecies.org:taxname:281290","urn:lsid:marinespecies.org:taxname:281290","Lepidoblepharon ophthalmolepis","Lepidoblepharon ophthalmolepis","Actinopteri","Pleuronectiformes","Citharidae","Lepidoblepharon","accepted",281290
"urn:lsid:marinespecies.org:taxname:281292","urn:lsid:marinespecies.org:taxname:281292","Lepidogobius lepidus","Lepidogobius lepidus","Actinopteri","Gobiiformes","Gobiidae","Lepidogobius","accepted",281292
"urn:lsid:marinespecies.org:taxname:281294","urn:lsid:marinespecies.org:taxname:281294","Lepidonectes clarkhubbsi","Lepidonectes clarkhubbsi","Actinopteri","Blenniiformes","Tripterygiidae","Lepidonectes","accepted",281294
